product_id,category,brand,season,size,color,original_price,markdown_percentage,current_price,purchase_date,stock_quantity,customer_rating,is_returned,return_reason,total_revenue,year,month,day_name
FB000001,Outerwear,Zara,Spring,XL,Red,196.01,0.0,196.01,2025-07-05,37,3.0,False,No Return,7252.37,2025,7,Saturday
FB000002,Tops,Uniqlo,Winter,L,Pink,119.64,0.0,119.64,2025-08-06,2,2.5,False,No Return,239.28,2025,8,Wednesday
FB000003,Accessories,Uniqlo,Winter,Unknown,Black,33.8,0.0,33.8,2025-08-06,22,4.3,False,No Return,743.5999999999999,2025,8,Wednesday
FB000004,Shoes,Uniqlo,Spring,XL,Black,75.36,0.0,75.36,2025-07-07,48,2.6,False,No Return,3617.2799999999997,2025,7,Monday
FB000005,Tops,Banana Republic,Winter,XL,Black,105.02,0.0,105.02,2025-08-06,10,2.986604189636163,False,No Return,1050.2,2025,8,Wednesday
FB000006,Accessories,Zara,Fall,Unknown,White,35.03,35.4,22.63,2025-08-06,38,2.9,True,Color Mismatch,859.9399999999999,2025,8,Wednesday
FB000007,Bottoms,Zara,Spring,S,Gray,53.83,54.5,24.49,2024-10-29,38,2.6,False,No Return,930.6199999999999,2024,10,Tuesday
FB000008,Dresses,Mango,Winter,XL,Blue,91.55,22.1,71.32,2025-08-06,47,1.6,False,No Return,3352.0399999999995,2025,8,Wednesday
FB000009,Outerwear,Uniqlo,Spring,XL,Green,227.73,12.8,198.58,2025-03-24,14,2.986604189636163,False,No Return,2780.1200000000003,2025,3,Monday
FB000010,Outerwear,H&M,Fall,XXL,Pink,248.41,10.9,221.33,2025-08-06,37,2.986604189636163,False,No Return,8189.21,2025,8,Wednesday
FB000011,Tops,Mango,Spring,L,Black,116.84,0.0,116.84,2025-04-25,3,4.4,False,No Return,350.52,2025,4,Friday
FB000012,Shoes,Uniqlo,Winter,S,Blue,146.98,0.0,146.98,2025-08-06,2,3.4,False,No Return,293.96,2025,8,Wednesday
FB000013,Bottoms,Ann Taylor,Spring,S,White,37.51,0.0,37.51,2025-01-04,43,2.986604189636163,False,No Return,1612.9299999999998,2025,1,Saturday
FB000014,Dresses,Uniqlo,Fall,XS,Beige,48.15,0.0,48.15,2025-08-06,39,1.6,False,No Return,1877.85,2025,8,Wednesday
FB000015,Tops,Mango,Winter,M,Beige,79.66,0.0,79.66,2025-08-06,7,1.7,False,No Return,557.62,2025,8,Wednesday
FB000016,Accessories,Mango,Winter,Unknown,Green,67.57,0.0,67.57,2025-08-06,17,2.4,False,No Return,1148.6899999999998,2025,8,Wednesday
FB000017,Shoes,Gap,Summer,S,Beige,123.53,0.0,123.53,2025-08-06,14,4.6,False,No Return,1729.42,2025,8,Wednesday
FB000018,Tops,Ann Taylor,Winter,L,Navy,102.35,0.0,102.35,2025-08-06,14,3.5,False,No Return,1432.8999999999999,2025,8,Wednesday
FB000019,Outerwear,Mango,Summer,M,Purple,137.95,58.5,57.25,2025-08-06,16,4.1,False,No Return,916.0,2025,8,Wednesday
FB000020,Outerwear,Banana Republic,Summer,XXL,Gray,142.59,0.0,142.59,2025-08-06,1,3.7,False,No Return,142.59,2025,8,Wednesday
FB000021,Bottoms,Mango,Fall,L,Beige,33.33,21.8,26.06,2025-08-06,42,2.986604189636163,False,No Return,1094.52,2025,8,Wednesday
FB000022,Accessories,Zara,Spring,Unknown,Brown,62.3,0.0,62.3,2024-09-24,10,2.5,False,No Return,623.0,2024,9,Tuesday
FB000023,Accessories,Zara,Winter,Unknown,Pink,38.48,0.0,38.48,2025-08-06,46,1.2,False,No Return,1770.08,2025,8,Wednesday
FB000024,Dresses,Banana Republic,Summer,XL,Green,91.36,0.0,91.36,2025-08-06,37,1.2,True,Size Issue,3380.32,2025,8,Wednesday
FB000025,Tops,Forever21,Fall,XS,Blue,80.47,29.1,57.05,2025-08-06,38,3.6,False,No Return,2167.9,2025,8,Wednesday
FB000026,Bottoms,Uniqlo,Spring,M,Red,40.89,34.0,26.99,2025-06-11,16,3.7,False,No Return,431.84,2025,6,Wednesday
FB000027,Bottoms,Banana Republic,Summer,L,Red,47.04,36.0,30.11,2025-08-06,25,1.1,True,Damaged,752.75,2025,8,Wednesday
FB000028,Bottoms,Gap,Summer,M,Blue,53.37,0.0,53.37,2025-08-06,28,3.8,False,No Return,1494.36,2025,8,Wednesday
FB000029,Dresses,Ann Taylor,Summer,L,White,114.35,0.0,114.35,2025-08-06,6,1.2,False,No Return,686.0999999999999,2025,8,Wednesday
FB000030,Shoes,Gap,Spring,XL,Red,77.63,0.0,77.63,2024-10-24,1,2.986604189636163,False,No Return,77.63,2024,10,Thursday
FB000031,Shoes,Uniqlo,Summer,S,Red,71.29,0.0,71.29,2025-08-06,37,4.1,True,Quality Issue,2637.73,2025,8,Wednesday
FB000032,Tops,Gap,Spring,L,Purple,37.43,24.4,28.3,2025-04-16,5,2.986604189636163,False,No Return,141.5,2025,4,Wednesday
FB000033,Shoes,Zara,Spring,XL,Purple,143.78,0.0,143.78,2024-10-16,43,1.1,False,No Return,6182.54,2024,10,Wednesday
FB000034,Tops,Banana Republic,Summer,XL,Gray,88.23,0.0,88.23,2025-08-06,44,1.6,False,No Return,3882.1200000000003,2025,8,Wednesday
FB000035,Accessories,Forever21,Fall,Unknown,Navy,58.57,0.0,58.57,2025-08-06,38,1.5,False,No Return,2225.66,2025,8,Wednesday
FB000036,Tops,Uniqlo,Winter,XXL,White,119.7,5.7,112.88,2025-08-06,37,4.9,False,No Return,4176.5599999999995,2025,8,Wednesday
FB000037,Bottoms,Banana Republic,Fall,XXL,Green,97.06,47.8,50.67,2025-08-06,31,4.1,False,No Return,1570.77,2025,8,Wednesday
FB000038,Dresses,Banana Republic,Summer,L,White,110.09,0.0,110.09,2025-08-06,32,3.4,False,No Return,3522.88,2025,8,Wednesday
FB000039,Shoes,Zara,Winter,XS,Green,198.42,14.2,170.24,2025-08-06,10,2.986604189636163,False,No Return,1702.4,2025,8,Wednesday
FB000040,Bottoms,Banana Republic,Winter,Unknown,Purple,101.72,0.0,101.72,2025-08-06,40,2.986604189636163,False,No Return,4068.8,2025,8,Wednesday
FB000041,Tops,Uniqlo,Summer,S,White,117.86,0.0,117.86,2025-08-06,6,2.986604189636163,False,No Return,707.16,2025,8,Wednesday
FB000042,Tops,Ann Taylor,Summer,M,Green,78.86,0.0,78.86,2025-08-06,22,4.3,False,No Return,1734.92,2025,8,Wednesday
FB000043,Outerwear,Zara,Winter,XS,Navy,216.16,51.4,105.05,2025-08-06,36,4.0,False,No Return,3781.7999999999997,2025,8,Wednesday
FB000044,Shoes,Zara,Spring,XL,Pink,129.85,0.0,129.85,2025-04-25,36,3.3,False,No Return,4674.599999999999,2025,4,Friday
FB000045,Tops,Banana Republic,Winter,XXL,Green,111.3,0.0,111.3,2025-08-06,11,1.7,False,No Return,1224.3,2025,8,Wednesday
FB000046,Dresses,Uniqlo,Summer,XL,Brown,73.65,0.0,73.65,2025-08-06,33,3.6,False,No Return,2430.4500000000003,2025,8,Wednesday
FB000047,Shoes,Mango,Summer,L,Pink,147.13,30.3,102.55,2025-08-06,13,4.4,False,No Return,1333.1499999999999,2025,8,Wednesday
FB000048,Accessories,Ann Taylor,Winter,Unknown,Green,44.6,53.9,20.56,2025-08-06,42,2.4,False,No Return,863.52,2025,8,Wednesday
