ds,yhat,yhat_lower,yhat_upper
2024-08-31,-310035.576746392,-1337023.6576363938,651227.5354783244
2024-09-30,-200125.13255258487,-1201911.3336875888,774586.7803731223
2024-10-31,-86551.00702215958,-1104868.942255298,896139.5031943297
2024-11-30,23359.43707922647,-987563.6395594686,1086567.7490607337
2024-12-31,136933.5624365521,-845401.783598884,1229183.7338645868
2025-01-31,250507.68803282853,-777550.2337075842,1278932.8643253725
2025-02-28,353090.76926817896,-559549.2666635417,1405902.4829388598
2025-03-31,466664.8950300443,-470683.40707276267,1517357.2127379652
2025-04-30,576575.3393574117,-421151.00184224796,1598076.561320278
2025-05-31,690149.4651941205,-327516.15258716024,1704966.1235287392
2025-06-30,800059.9097793218,-213173.18222820602,1822241.9957953347
2025-07-31,913634.035850696,-50434.023523229174,1997717.8312397543
2025-08-31,1027208.1619220707,-44396.24203069448,1960310.3064570138
2025-09-30,1137118.606507272,155400.69298332994,2211114.974579217
2025-10-31,1250692.7325786466,267598.42678921757,2231511.196058549
2025-11-30,1360603.1771638477,362622.21244692744,2425696.750878614
2025-12-31,1474177.3032352224,425361.5636340349,2431963.8830058514
2026-01-31,1587751.4293065968,580150.3332695344,2652487.9454080593
2026-02-28,1690334.5109194512,649354.6676067103,2721202.663013052
